low,mean,high,ice
176.4942,216.2745,244.7187,209
167.1941,216.0247,246.915,209
183.9457,230.0265,259.6884,226
181.3755,232.477,264.7766,227
179.5429,236.2606,271.7872,229
179.8043,230.9452,262.274,266
170.9491,224.4035,255.3062,194
162.6489,202.0031,228.2759,194
168.9421,213.228,247.8195,196
174.8843,228.0598,262.6075,204
196.6844,243.4008,276.0985,208
186.7577,245.074,280.3901,236
189.8658,235.5696,265.1259,218
175.5995,222.3014,256.7709,260
178.9234,227.6192,257.8347,249
175.9516,223.7958,253.3651,196
173.6165,224.6148,257.5769,197
173.8753,221.2503,251.4132,193
171.2911,214.9377,241.7913,207
184.0312,238.2775,272.5847,228
177.8039,223.4134,255.2127,205